#{"t_start": 1776408462.23993, "env_id": "None"}
r,l,t
1560.5759,159,205.338667
1278.4906,130,205.474581
1430.2491,144,205.870961
2258.028,500,206.387508
1134.4141,115,206.534579
1430.1692,145,206.767201
1342.9149,139,206.949853
1267.6086,129,207.983069
1588.0004,163,208.566746
1422.7517,146,208.779318
1129.9445,114,208.842114
1964.813,262,209.235845
1362.5527,158,209.537332
1308.7385,134,209.634934
1458.7032,150,209.776379
1925.2793,500,209.798911
497.57382,65,210.59963
1309.9375,134,210.780306
2256.1023,500,211.12922
1140.8096,115,211.313644
2257.4683,352,211.466363
1430.8921,147,211.87509
1561.9222,159,211.910219
1290.3761,135,212.512267
2611.8647,370,212.687268
1364.8268,158,212.863294
1467.7017,151,212.967988
1349.7067,162,213.222972
1351.064,138,213.618118
1124.6559,117,213.640068
1486.8673,153,215.060295
1585.3698,162,215.29346
1355.6165,140,215.463836
1961.172,254,215.932794
1363.229,157,216.175807
1488.6793,153,216.199093
1170.2727,122,216.246222
1338.788,161,216.600642
1361.6,142,216.618678
506.55658,76,217.532262
1377.3352,141,218.032534
1295.8193,137,218.36208
1554.7975,158,218.655335
1131.3484,113,218.681621
2249.9375,359,219.034497
1267.7253,128,219.450252
1466.548,152,219.512435
1381.7001,160,219.692652
1139.4097,116,221.476287
1290.5214,133,221.559764
1475.2039,152,221.665074
2285.577,500,222.076198
1572.4193,160,222.576009
1291.0028,131,222.740898
1452.713,147,223.238013
1944.3124,247,223.524688
1361.4232,156,223.643102
2987.947,485,223.712128
1124.5693,113,224.313311
1292.3331,131,224.834757
1457.5118,148,225.379463
1228.253,124,225.825232
1535.3763,156,226.484735
1476.8303,149,226.956336
1145.9362,114,227.227073
1398.9022,161,227.711018
2216.9126,353,227.894825
1243.3645,126,228.105116
2056.3445,500,228.76339
1255.984,126,229.011143
1426.0176,144,229.011143
1093.6296,108,229.874054
1943.9565,259,229.928693
2359.6157,258,230.068841
1561.9487,159,230.33659
1425.0607,143,230.372759
969.7616,116,230.537103
1276.1852,128,230.951237
1346.0372,154,231.174261
1215.7589,122,231.615776
1290.3894,152,232.018018
1413.3103,142,232.019278
1099.953,108,232.063415
972.8066,116,232.876101
1433.8337,144,233.273642
1527.0338,155,233.447986
1287.8223,129,233.53131
2320.5005,500,233.669128
1243.9001,124,234.086462
1074.5525,105,234.152196
1309.4095,151,234.187308
1395.7487,140,234.820498
1271.3854,148,234.978692
1962.0249,254,235.038874
987.61304,118,235.253394
1254.3081,125,236.044856
1449.5552,145,236.179952
1110.4756,109,236.347967
1547.8026,157,236.605614
1253.3079,125,236.605614
1309.7068,150,237.206709
1420.6515,142,237.691533
1313.3428,152,238.059748
1069.1967,104,238.445941
1250.7983,125,238.561428
1443.7795,145,239.066733
1241.192,124,239.066733
2966.4324,478,239.634274
1528.9392,155,239.673162
1954.8658,246,239.918154
1327.2716,152,240.197917
1381.0527,138,240.363513
1079.0238,105,240.456819
1293.1666,151,240.952019
1245.7869,125,240.953023
524.60834,75,241.368352
1216.8594,121,241.405101
1447.3553,145,241.864156
1075.075,105,242.458586
1518.2867,154,242.606358
500.49545,66,242.606358
1393.2654,139,243.00028
1326.0671,152,243.076768
1259.4264,126,243.350616
2287.5327,500,243.467226
1236.8834,124,243.752927
1271.4973,148,243.772947
2552.218,471,244.411676
1095.1936,107,244.511508
1455.2498,146,244.654418
1517.0609,154,245.579489
1354.1329,135,245.615019
1289.2712,129,245.850756
1169.9125,116,246.015345
1340.912,155,246.089755
1206.7007,140,246.546359
940.4929,111,246.660576
1087.6666,106,246.660576
1373.8033,137,247.698107
1955.8049,251,247.91384
1160.1299,115,249.000029
1357.8997,135,249.000029
1241.8115,124,249.028145
1509.6267,153,249.446974
1076.5854,105,249.521774
478.9262,64,249.662754
954.7636,113,249.75596
1358.4844,157,250.265938
1220.4037,141,250.394979
2605.4563,500,250.451152
483.4876,65,251.379768
1439.624,144,251.576647
1217.1862,121,252.24993
1263.6355,126,252.411088
1104.3892,108,252.411088
949.9359,112,252.741216
1421.7644,142,252.829897
483.95404,65,253.147035
1535.6929,156,253.602778
1297.9893,151,254.416732
1356.3344,156,254.416732
477.7613,70,255.004061
1125.476,111,255.389743
1431.4553,143,255.420338
1198.8087,119,255.446393
1243.6753,124,255.751013
2254.9675,500,255.837853
993.98804,117,255.891598
1416.8589,142,256.645608
2173.1084,251,257.030075
502.46185,87,257.165644
1527.5892,155,257.473564
1084.7544,106,257.78849
1334.3412,154,258.025116
1385.2781,160,258.147966
1245.5393,125,258.20882
464.88998,62,258.360337
1246.0532,124,258.398039
996.83954,119,258.398039
1467.7994,148,258.624043
1452.2101,146,259.443046
473.5359,62,259.53795
1094.5985,107,259.842214
1518.7408,154,260.422708
987.85614,116,260.607981
1292.135,130,260.68325
1224.6008,122,260.721381
514.85706,67,260.816671
1321.0226,153,260.950636
1381.2771,159,261.183003
1503.6937,151,261.500945
1110.7152,109,261.943636
455.99042,60,261.983998
1446.4412,146,262.253928
1019.0597,120,262.928148
1206.6394,120,263.043787
1271.8984,127,263.143409
513.24023,67,263.280334
1539.0493,156,263.431706
1290.8093,149,263.840829
1095.8274,107,264.025949
1355.2703,155,264.186482
1480.3085,149,264.393244
498.057,65,264.522642
1438.8395,144,265.024233
1039.3472,122,265.284174
1222.6769,122,265.408632
1874.0144,500,265.702944
1308.922,132,265.702944
491.80298,65,265.80312
1082.3595,106,266.095534
1538.7452,156,266.498591
2350.0393,500,266.719565
514.31464,67,267.153867
1375.8699,158,267.318131
1477.2124,149,267.353744
1003.9367,118,267.655687
1409.7703,141,267.863026
1249.6945,124,267.898652
1106.1227,108,268.248631
1288.137,129,268.289179
1561.7316,159,269.610157
1462.487,147,270.223842
1245.5916,124,270.306204
1125.916,110,270.387979
1416.6006,162,270.495595
1453.6586,147,270.719085
1305.0015,131,270.844973
1895.2777,231,271.704325
1098.0038,107,272.535606
1553.4072,158,272.780035
1253.8059,125,272.821672
526.86523,69,273.098035
1450.5588,146,273.166226
1262.4703,126,273.420054
1451.5442,146,273.764624
1986.9949,500,273.867954
1434.8752,165,273.932677
499.20505,72,274.761743
1101.0416,108,274.922439
1233.3008,123,275.635167
2035.3271,500,276.113425
515.37213,68,276.41662
1552.7349,158,276.467253
1303.7872,131,276.541013
1480.9381,149,276.711087
1410.4001,141,277.130521
1258.204,145,277.299405
2352.7202,500,277.324459
2702.088,453,277.324459
1120.1345,110,277.579688
1433.4563,165,277.778632
505.77997,66,277.89674
1225.089,122,278.453533
1246.3495,125,279.396802
1083.7694,106,280.035367
1449.0703,145,280.058
1524.5105,155,280.058
1414.0974,142,280.406075
1225.7386,122,281.472269
1435.5278,166,281.756795
1266.31,127,282.523599
1091.3984,107,282.681564
2213.1772,258,283.421688
1723.4779,259,283.421688
1910.7805,233,283.498441
1466.2155,147,283.61703
1555.2881,158,283.881871
1476.9551,148,283.96463
1227.9487,122,284.357172
1098.1322,108,285.181121
1245.9633,125,285.4335
1456.7705,169,285.720163
1277.261,148,286.8123
1453.52,147,286.963351
1208.5729,120,287.056625
1421.4504,143,287.214206
1543.6012,157,287.448104
1091.3323,107,287.575527
1930.6768,500,287.789365
1251.6499,126,288.240663
1863.585,225,288.624232
2466.8105,500,288.960981
1476.7922,171,289.609174
1204.812,120,289.817315
1090.7365,107,290.035753
1291.667,149,290.204933
1473.7699,149,290.355334
1486.9191,150,290.640233
1561.149,159,291.078979
1309.1621,132,291.288175
1016.87714,121,291.713624
1195.7529,119,292.501403
1107.9799,109,292.501403
1473.617,173,293.515943
1287.018,149,293.587112
1498.1849,151,293.792116
1396.6023,140,293.811188
1875.1067,230,293.855298
1286.7566,130,294.206396
1046.4819,125,294.524125
1555.9019,158,294.635221
2353.677,500,294.786208
1090.8247,108,294.913071
1185.1582,118,295.129379
1287.5099,150,296.934012
1458.2386,148,297.08677
1468.0491,150,297.146247
1457.1958,169,297.296835
1354.152,139,297.320184
1057.5065,125,297.320184
1104.2678,109,297.365315
1242.8302,124,297.944474
1576.2273,160,298.242762
1889.2114,230,299.034965
2223.3433,500,299.124243
1123.1859,112,299.915363
1060.7415,127,300.206844
1335.4728,135,300.392252
1399.4729,142,300.392252
1458.5831,148,300.460505
1330.7314,155,300.460505
2212.2666,257,300.595139
1215.4279,121,300.676388
1396.2986,161,300.948262
1545.0758,157,301.775864
1080.7627,108,302.42114
1084.6163,129,303.266613
1351.9382,138,303.699024
1262.3773,126,303.72298
1483.7114,151,304.028668
1506.14,155,304.200702
1824.4954,221,304.276427
1350.6979,160,304.332292
1472.4344,170,305.165302
1115.8625,111,305.243035
1583.0026,161,305.911988
1129.0726,134,306.740478
1245.7557,124,306.957109
2230.792,264,307.205263
1346.7515,138,307.269874
1473.4326,150,307.900618
1114.8,111,308.093594
1488.6008,152,308.115654
1326.6998,156,308.342013
1574.0955,160,310.019833
1079.6473,129,310.042879
1226.1111,122,310.071448
1880.6779,227,310.155711
1319.6289,135,310.758022
1123.7732,111,310.995464
2218.5024,500,311.621878
1471.5482,151,311.829296
1525.6638,155,312.15818
1704.2809,199,312.316966
1392.0968,164,312.564886
1208.3236,120,313.059844
1125.4023,133,313.33325
1128.0239,112,313.674344
1572.1732,160,313.932994
1349.3716,138,314.070716
1474.1858,150,315.250547
1897.5435,229,315.592724
1511.2661,155,315.662424
1223.643,122,315.814478
1332.4832,156,316.082656
1100.8127,109,316.125099
1054.4276,125,316.147157
1685.5403,197,316.747197
1330.9032,136,317.101332
2608.3364,500,317.333298
1530.1605,155,317.396995
1188.6677,118,318.4281
1120.4308,111,318.586075
1469.7084,151,318.609208
1109.5706,131,319.056825
1501.7538,154,319.077884
1347.7614,159,319.602295
1351.1084,138,320.146918
1838.6426,222,320.476766
1564.5983,159,320.823644
1158.8168,115,320.876126
1109.536,110,320.918063
1735.6772,207,321.179473
1452.2131,148,321.684592
1115.0968,133,321.790233
1484.8708,151,322.191168
2363.422,500,322.587353
1302.8802,134,322.845853
1401.039,164,322.96941
1112.9244,112,323.231523
1212.6389,121,323.37938
1581.8586,161,324.122591
1116.1694,133,324.556569
1436.9978,149,324.771019
1854.3944,223,325.01887
1719.9886,202,325.338736
1496.6431,153,325.338736
1116.8259,111,325.473742
1327.4723,136,325.637021
1186.3336,118,325.759154
1410.2572,169,326.402685
1106.2451,132,327.225678
1577.287,160,327.364368
1089.4623,109,327.686404
2766.7278,500,327.712996
1462.1171,148,327.775179
1206.4614,120,328.19322
1313.2411,134,328.348035
1497.4608,154,328.446881
1726.239,205,329.477129
1867.5367,226,329.588218
1378.1592,164,329.722609
1113.7617,132,329.909858
1115.8801,111,329.954586
1194.3285,119,330.774669
1581.2434,161,330.799521
1504.0541,156,331.171232
1321.5454,135,331.376471
1524.6373,157,332.038326
1113.7377,112,332.717932
1125.054,133,333.20125
2330.0542,500,333.417091
1194.7445,119,333.739206
1440.3853,172,333.992016
1766.8926,211,334.635476
1564.6517,160,334.746583
1338.9633,140,334.824332
1475.823,152,334.925922
1830.0488,222,335.022763
1147.47,115,335.563053
1537.2094,158,335.915129
510.36816,66,336.661415
1234.1803,123,336.760157
1212.2878,146,336.79978
1433.2106,173,338.171939
507.92462,66,338.223639
1711.6793,199,338.252233
1382.9055,145,338.351055
1144.3583,116,338.373121
1588.7671,162,338.705656
1516.6221,156,338.729237
2780.7847,500,339.549524
1221.5984,122,339.71956
1539.5444,159,339.801298
501.81598,65,339.821964
1792.7355,223,340.028075
1147.0618,136,340.046613
1135.9517,115,340.959263
1327.5605,137,341.395754
487.8862,78,341.416814
1416.3806,168,341.868298
1479.1486,151,341.967022
1225.7651,122,342.178223
1601.992,164,342.198334
510.52127,67,342.74261
1137.8462,137,342.807308
1531.767,157,342.969851
1116.1073,112,343.208017
508.53516,66,344.091515
1344.2542,139,344.199325
1766.0731,212,344.334333
1221.7522,122,344.665079
1493.077,153,345.062926
1376.6296,165,345.2049
1559.5734,159,345.42929
513.91486,67,345.449348
1156.298,116,345.566385
1151.5865,138,345.611471
1530.8684,159,346.19368
509.00372,66,346.758213
1322.2982,137,346.9312
1178.6167,117,346.986842
1161.741,117,347.887393
1447.1299,150,348.063064
1137.9337,137,348.333878
1354.6378,163,348.454257
1752.2854,208,348.474101
2409.9534,500,348.596134
1572.1289,160,348.617025
1479.2537,152,349.173498
1208.5126,120,349.332287
2739.1938,500,349.561213
1316.5504,136,349.581276
1111.6693,112,350.036386
1130.9172,138,350.933892
1482.6573,154,350.968943
1805.6527,221,351.007056
1156.189,115,351.489689
1378.2919,166,351.561932
1597.9712,163,351.652948
1515.306,157,352.112569
1114.4379,112,352.131616
1672.4847,192,352.184253
1331.7848,141,352.228239
504.72977,66,352.247916
482.21103,63,353.453333
1116.9741,136,353.513891
1168.8333,116,353.703941
1465.6113,150,353.815896
